Code_ARP;Libelle_medicament
ARP003258;SEPTYL BAIN DE BOUCHE 0,1 G - FLACON / 80 ML
ARP003386;STERITAX INJ 1,5 - BOITE / 1
ARP003971;ZERODOL P 100 MG/500 MG - BOITE / 10
ARP001450;FEDATE - FLACON / 200 ML
ARP002479;NECAXIME 1 G - BOITE / 1 FLACON
ARP002498;NETAZOX DT 200 MG - BOITE/6
ARP002227;MADECASSOL CP 10 MG - BOITE / 25
ARP002139;LIPANTHYL 145 MG - B/30
ARP001714;GORPILS MENTHOL EUCALYPTUS - BOITE / 24
ARP001519;FLUB 600 MG / 30 ML - FLACON / 30 ML
ARP001521;FLUB CP 100 MG - BOITE / 6
ARP000845;CLARADOL 500 MG - BOITE / 16
ARP002098;LEUTRIEN 4 MG - BOITE/30
ARP000301;ARTECOM CP/8 - BOITE / 8
ARP000084;ALBENDAZOLE UBITHERA 400MG B/50 - BOITE DE 50 BLISTER/1
ARP002562;NORMET SP 100 MG - FLACON / 30 ML
ARP002496;NETAZOX CP 500 MG - BOITE / 6
ARP000310;ARTEMETHER UBITHERA 80MG - BOITE / 10
ARP003560;TERCEFIX 200 MG COMPRIME B10 - BOITE / 10
ARP003552;TERAMOX 250MG/5ML SIROP FL/60ML - FLACON / 60ML
ARP003575;TEROMEP 20 MG GELULE B30 - BOITE/ 30
ARP003211;SALIFEN 1 % GEL 30 MG - nan
ARP003734;ULCIZONE 20 MG - BOITE / 14
ARP001406;EVIDAN 1 MG/ML - nan
ARP003397;STRESAM GELULE 50 MG - B/60
ARP003844;VIFEX SIROP 1 MG/2 MG/50 MG - nan
ARP000497;BECOZYME INJ - BOITE 12
ARP002103;LEVITRA 5 MG - nan
ARP001863;IBUMOL 400 MG/325 MG - B/30
ARP001240;DRILL PASTILLE B/24 - B/24
ARP000580;BISOPROLOL REF - BOITE / 30
ARP003604;TILDONE - BOITE / 30
ARP003592;THERADIAM - BOITE / 60
ARP003789;VALMAC-AH - BOITE / 28
ARP000032;ACRETIN - TUBE / 30G
ARP003594;THIAMAZOLE - BOITE / 30
ARP001516;FLOXATIL - FLACON / 100ml
ARP003593;THERAPRIL - BOITE / 30
ARP000186;AMLOTENSINE - BOITE / 30
ARP000418;AZPARA - BOITE / 1
ARP003297;SITAMAC-M - BOITE / 30
ARP002755;PAMISCAN - FLACON / 100ML
ARP003242;SEFAM PL - BOITE / 30
ARP003323;SOMNIAL - BOITE / 14
ARP001335;ENOXAGEN - BOITE / 2
ARP001449;FEBUXOSTAT BIOGARAN - BOITE / 28
ARP000901;CO-THERAPRIL - BOITE / 30
ARP001335;ENOXAGEN - BOITE/2
ARP002755;PAMISCAN - FLACON / 50 ml
ARP002115;LEVOPIRID-GH - BOITE/20
ARP003151;RIVASON - BOITE / 14
ARP000967;COTECLAV - BOITE / 1
ARP000352;ASTYFER - FLACON / 200 ml
ARP001275;EAU OXYGENE - FLACON / 250 ml
ARP002076;LASTAVIN - BOITE / 30
ARP003260;SERDERAX - BOITE / 30
ARP003349;SPIROTIL - BOITE / 30
ARP000866;CLEDOMOX - FLACON / 60 ml
ARP002870;PHENOXAL - BOITE / 20
ARP001276;EAU OXYGENEE GILBERT - FLACON /120 ml
ARP000821;CIPROFLOXACINE - FLACON / 100 ml
ARP000175;AMLODIPINE / VALSATRAN BIOGARAN - BOITE / 30
ARP003533;TENELIG - BOITE / 30
ARP000504;BENZATHINE BENZYLPENICILLINE OBCO - BOITE / 1 FLACON
ARP002655;OLIPEN - BOITE / 16
ARP000180;AMLODIPINE/VALSARTAN BIOGARAN - BOITE / 90
ARP002519;NEUTROSEC - BOITE / 30
ARP000178;AMLODIPINE-AT - BOITE / 30
ARP001382;ESOPEL - BOITE / 30
ARP000009;ACARBOSE-GH - BOITE / 100
ARP002450;N-T-TUS - FLACON / 100ml
ARP001672;GINKGO BIOGARAN - BOITE / 90
ARP003996;ZITHROTIL - BOITE / 3
ARP003927;XONE - BOITE / 1
ARP001687;GLIPINN - BOITE / 30
ARP000736;CELEBIB - BOITE / 20
ARP000124;ALLESTENE - FLACON / 30 ml
ARP000184;AMLOPERIN-AT - BOITE / 30
ARP000175;AMLODIPINE / VALSATRAN BIOGARAN - BOITE / 90
ARP001550;FLUKOCIN - FLACON / 100ml
ARP001550;FLUKOCIN - BOITE / 20
ARP003956;ZEALARGY - BOITE /20
ARP003595;THIAMAZOLE-GH - BOITE / 30
ARP000064;AFINE C - BOITE / 10
ARP001066;DATRAMOL - BOITE / 10
ARP003281;SILOTRIF - BOITE / 30
ARP001875;IDUMOL - BOITE / 20
ARP003592;THERADIAM - BOITE / 30
ARP000289;AQUZON – SP - BOITE / 50
ARP002657;OLOPAT - FLACON / 10 ml
ARP000865;CLEDOMAX - FLACON / 60 ml
ARP000649;CALCIUM ET VITAMINE C RIPHARMA - BOITE / 20
ARP002754;PALUVA PLUS SENIOR - BOITE / 1
ARP000268;APETAMIN - BOITE / 30
ARP002833;PEGLEC - BOITE / 1
ARP000103;ALFOSA - BOITE / 4
ARP002967;PROCTICAD - FLACON / 200 ml
ARP002601;NYSTOAURA-OS - FLACON / 30
ARP002225;MACROMYCIN - BOITE / 20
ARP003583;TETATOX - BOITE /1
ARP003877;VITAMINE C RIPHARMA - BOITE / 20
ARP000866;CLEDOMOX - BOITE / 16
ARP000382;AVANEP - FLACON / 5ML
ARP002077;LASTAVIN AM - BOITE / 30
ARP000580;BISOPROLOL REF - BOITE / 90
ARP002746;PALSUNATE - BOITE / 1
ARP002602;NYSTOAURA-V - BOITE / 20
ARP001871;IBUPROFENE OBCO - BOITE / 100
ARP001615;G-OUT - BOITE / 20
ARP002403;MOVFOR - BOITE / 40
ARP002660;OMEPRAL - BOITE / 5
ARP003817;VENTOMAC - FLACON/ 200 DOSES
ARP003301;SLINDA - BOITE /28
ARP000206;AMOXICILLINE OBCO - BOITE / 120
ARP001317;EMCOF - FLACON / 100 ml
ARP003955;ZAXTER - BOITE / 1
ARP001330;ENFAGRIP - FLACON / 150 ml
ARP002790;PARACETAMOL OBCO - BOITE / 100
ARP001226;DOXPYR - BOITE /20
ARP003956;ZEALARGY - BOITE / 20
ARP000137;ALPRAZOLAM BIOGARAN - BOITE / 30
ARP003506;TAXIME O FORTE - FLACON / 60 ml
ARP002422;MULTIGARD C DROPS - FLACON / 15ml
ARP000354;ASTYMIN - FLACON/ 200 ml
ARP002674;ONDAMAC - BOITE / 10
ARP003829;VERMOX - FLACON/ 30 ml
ARP002430;MYCOXIB - BOITE / 30
ARP000536;BI-THERAPRIL - BOITE / 30
ARP002848;PERISOLOL - BOITE / 30
ARP000732;CEFTRON - BOITE / 1
ARP003584;TETAVIN - BOITE / 1
ARP002753;PALUVA PLUS JUNIOR - BOITE / 1
ARP002813;PARIB - BOITE / 10
ARP002755;PAMISCAN - BOITE / 1 AMPOULE DE 50 ML
ARP000063;AFINE - BOITE / 10
ARP001307;ELICA - TYPE / 30 g
ARP000017;ACETIN - TYPE / 30 g
ARP000967;COTECLAV - BOITE/ 16
ARP001708;GLYMAX - BOITE / 30
ARP001672;GINKGO BIOGARAN - BOITE / 30
ARP003606;TILVOM - BOITE / 5
ARP003149;RISPERIDONE BGL - FLACON / 60 ml
ARP002639;OFLOZOLE - BOITE / 10
ARP000508;BEOGUT - BOITE / 10
ARP001516;FLOXATIL - FLACON / 100 ml
ARP000183;AMLOPERIN - BOITE / 30
ARP003763;URELOG - BOITE / 100
ARP001351;EPOMAX - BOITE / 10
ARP000174;AMLODIPINE / VALSARTAN BIOGARAN - BOITE / 90
ARP002270;MEDOMOX - BOITE / 500
ARP000199;AMOXICILLINE ACIDE - BOITE / 16
ARP003993;ZINNIA-P - BOITE / 3X28
ARP002879;PHYSIODOSE - BOITES / 15X5 ml
ARP001516;FLOXATIL - BOITE / 10
ARP003197;S-DOM - BOITE / 30
ARP001382;ESOPEL - BOITE / 20
ARP003180;RUBIRED - FLACON / 150 ml
ARP002879;PHYSIODOSE - BOITE / 30
ARP002704;ORTIZA - BOITE / 30
ARP002114;LEVOPIRID - BOITE / 6
ARP002333;METRONIDAZOLE - BOITE / 100
ARP000214;AMOXILLINE OBCO - FLACON / 60
ARP001443;FE-XTRA - FLACOM / 200
ARP000214;AMOXILLINE OBCO - FLACOM / 60
ARP002674;ONDAMAC - FLACON / 30 ml
ARP000268;APETAMIN - FLACOM / 110 ml
ARP000487;BANEO-GH - TYPE / 20 g
ARP000576;BISOPROLOL - BOITE / 90
ARP002421;MULTIGARD - FLACOM / 100 ml
ARP001335;ENOXAGEN - 2 SERINGUES PREREMPLIES DE 2 ML
ARP001026;CZARTAN - BOITE / 30
ARP000174;AMLODIPINE / VALSARTAN BIOGARAN - BOITE / 30
ARP000352;ASTYFER - BOITE / 30
ARP001767;Glim Forte - B/30
ARP001271;Diprezar - B/28
ARP003018;Phlorogex - B/20
ARP002448;Moxiland - B/16
ARP001957;Indonozone S - fl/1
ARP003457;Saniver - B/1
ARP001956;Indofix - fl/60
ARP001956;Indofix - B/10
ARP001761;Gelma - B/30
ARP001273;Duotab - B/9
ARP003900;Viprostol - B/4
ARP003187;Rabeloc - fl/5ml
ARP000455;Artilarmes - fl/10ml
ARP001958;Indotimol collyre - fl/5ml
ARP001959;Indozone - B/1
ARP003014;Pantopral-Dgélule - B/30
ARP002448;Moxiland - B/1
ARP002216;Lidpro - B/30
ARP003194;Risperidone Biogaran - B/30
ARP001423;Endur - B/10
ARP003460;Shaphir - fl/30
ARP001961;Iohexol-M - fl/50ml
ARP001768;Glimeron - B/30
ARP001027;Cabalin - B/10
ARP003726;Tramecetal - B/10
ARP000452;Antoxia - B/14
ARP002604;Neofixim - B/10
ARP000422;Acenland P - B/10
ARP003468;Sunaveine - fl/1
ARP001955;Indofer - B/20/B30
ARP001045;Cristabion - fl/5ml
ARP003021;Plufentrine - B/6
ARP000426;Alerbix - B/20
ARP000463;Azithrin - fl/15ml
ARP003028;Prezar - B/28
ARP001772;Gynature - B/1
ARP003188;Rabemac - B/20
ARP002613;Neurogab - B/30
ARP000632;Betnovex - B/20
ARP001762;Genset - B/30
ARP001046;Cyclopam - fl/30ml
ARP001266;Deller - B/10
ARP003462;Solcer SR - B/28
ARP003189;Rabetok - B/30
ARP002448;Moxiland - 60ml
ARP003723;Tivasone - T/30g
ARP001760;Gadote-M - 469mg/ml
ARP001608;Flonix - B/7
ARP001961;Iohexol-M - fl/50mg
ARP000454;Arteject - B/6
ARP002732;Ophtacure - fl/5ml
ARP003018;Phlorogex - B/10
ARP000457;Asmonate - fl/10ml
ARP000447;Amplex - B/16
ARP000457;Asmonate - fl/5ml
ARP003190;Rabetok-D - B/30
ARP001960;Inolone - fl/1ml
ARP003457;Saniver - fl/10ml
ARP001955;Indofer - fl/200ml
ARP001612;Forxiga - B/30
ARP003018;Phlorogex - B/30
ARP003039;Quinotheram - fl/5ml
ARP001270;Dini - T/30g
ARP003017;Paraniya - fl/100ml
ARP000447;Amplex - B/24
ARP001035;Clobex - T/30g
ARP003472;Synthoncinon - 5UI
ARP000450;Andol - B/8
ARP002603;Naso-GH - fl/10ml
ARP001420;Edisonl - fl/1ml
ARP002731;Olondo - fl/5ml
ARP002443;Momrazone - T/30g
ARP000421;Acenland - B/10
ARP003192;Richfer - B/30
ARP001272;Dolex - 10ml
ARP001857;Heamocare - B/30
ARP003459;Secuvit - B/30
ARP003944;Yendol N - B/10
ARP000450;Andol - B/16
ARP003472;Synthoncinon - B/10
ARP002617;Nordol plus - B/100
ARP003455;Salinoz - 10ml
ARP000462;Azcipro - fl/100ml
ARP000635;Boncipro - fl/100ml
ARP003016;Paracetamol - fl/100ml
ARP000446;Amoxilline Biogaran - B/14
ARP003013;Panderm - T/15g
ARP000451;Antitoxine tétanique - B/1
ARP001036;Clopine - B/30
ARP001269;Diantalex - T/30mg
ARP000427;Amaday - B/60
ARP004023;amaday - B/60
ARP004030;tavastor - B/30
ARP000463;Azithrin - B/6
ARP004030;tavastor - B/ 30
ARP001038;Clozox - B/10
ARP004030;tavastor - b/30
ARP003458;Sartapine - B/28
ARP004031;zeflet - B/10
ARP004025;clipti met - B/28
ARP001029;Cefixime - B/10
ARP002735;Oxiclar - fl/100ml
ARP002735;Oxiclar - B/24
ARP001859;Hydrocortisone - B/10 flacons
ARP001285;ECOXID - B/10
ARP002288;MELOXICAM - B/10
ARP002408;MP 40 - B/1 fl+1
ARP000461;Axadex D5 solution pour perfusion - fl/500 ml
ARP001037;Cloprine - B/30
ARP001043;Co Amoxiclav - B/16
ARP001042;Co Amo Amoxiclav - B/12
ARP001425;Esorez D - B/40
ARP001424;Esorez - B/40
ARP001609;Fluconz - B/4
ARP000445;Amoxicilline - fl/60ml
ARP003901;Viscid suspenorale - fl/5ml
ARP003454;Safedol - B/10
ARP000636;Bruzo Kit - B/10
ARP001426;Esprocid - B/10
ARP002215;Levoz - B/10
ARP001034;Clavumoccid - B/20
ARP003015;Para-Cotexx - fl/100ml
ARP003027;Prednisolone Biogaran - B/20
ARP003031;Propranolol HCL - B/50
ARP003032;Protexim - B/30
ARP003470;Supagin forte - B/10
ARP003898;Verquvo - B/14
ARP004021;Zibact - B/3
ARP003899;Verquvo 5mg - B/14
ARP003196;Royalis - B/4
ARP001030;Cefixime SP - Fl/60ml
ARP002439;Mac-s - Fl/150ml
ARP001043;Co Amoxiclav - B/12
ARP002733;Otorex - Fl/10ml
ARP001033;Clavadec - B/1
ARP001033;Clavadec - B/16
ARP001033;Clavadec - Fl/60ml
ARP000636;Bruzo Kit - Fl/100ml
ARP004026;kilstatin - B/30
ARP001607;Fizaclav - B/16
ARP001428;EyLea - nan
ARP003912;Welfil - B/4
ARP003191;Rexaban - B/10
ARP003019;Picot nutrition quotidienne - Pot / 400 g
ARP002607;Neubutamol - flacon de 150 ml
ARP002213;Levothyroxine - B/30
ARP003029;Prisdal - B/30
ARP002445;Montec - B/14
ARP001267;Descovy - B/30
ARP001315;ELeva Plus - B/1
ARP001766;Gensyl spray - flacon 30ml
ARP002612;Neurodol - tube de 30g
ARP002618;Novoclin - B/12
ARP003720;Tavastor - B/30
ARP001606;Famypop - B/28
ARP003020;Pintallin - Fl/120ml
ARP001421;Eleva Plus - B/1
ARP000464;Azro - B/3
ARP002605;Nepafen - Fl/5ml
ARP002606;Neu-TD - Fl/5ml
ARP001770;Glipti Met - B/28
ARP002610;Neulopat - Fl/5ml
ARP003725;Tramadol Denk - B/5
ARP003725;Tramadol Denk - B/10
ARP000448;Amva denk - B/28
ARP001044;Co-tecpril - B/30
ARP002219;Luex pédiatrique toux sèche - Fl/100ml
ARP000424;Agiderm - T/15g
ARP003467;Suliat HCT - B/28
ARP001769;Glinsip - B/30
ARP002730;Oktarin - T/40g
ARP002608;Neuceftra - B/1
ARP003722;Tepride - B/10
ARP003721;Tcinex - Fl 5ml
ARP001858;Hepbest - B/30
ARP003461;Sitamin Denk - B/30
ARP003030;Pristal - flacon de 60 ml
ARP002615;Neutrocold sachet - B/8
ARP002030;Kilxime - B/8
ARP003941;Xaban - B/10
ARP003776;Ultramax - B/20
ARP001422;Empaflozin - B/28
ARP000420;Abevmy - Fl/20
ARP002442;Metex G forte - B/10
ARP001038;Clozox - B/1
ARP001771;Gripex - B/10
ARP002440;Medigesic - B/30
ARP003463;Somnia - B/20
ARP000428;Aminocal - B/30
ARP002734;Oxaban - B/28
ARP001039;Clozox H 20 mg crème - T/10 g
ARP002217;Livozed solution injectable - flacon de 100 ml
ARP002734;Oxaban - B/20
ARP001427;Etricib - B/30
ARP001038;Clozox - T/35g
ARP003471;Swismox - B/5
ARP002444;Monkast - B/30
ARP000633;Biofol-B - B/30
ARP001040;Clycin - Fl/30ml
ARP002212;Levcethin ODS - B/10
ARP000420;Abevmy - Fl/20ml
ARP003195;Roplex-S - Ampoule B/5
ARP002441;Metex - B/10
ARP003724;Tosril - flacon de 120 ml
ARP000449;Amzval - B/30
ARP001031;Chymorex - B/30
ARP002210;Lemonex - B/10
ARP002612;Neurodol - B/5
ARP004028;litacold gargarisme - f/l100ml
ARP000444;Amlonex-P - B/30
ARP000463;Azithrin - B/3
ARP003466;Suliat - B/28
ARP001611;Formate B6/200 mcg poudre pour inhalation fl/1 - fl/1
ARP000634;Biprafen - flacon de 200 ml
ARP001763;Gensil - T/25g
ARP003469;Sunex - fl/1
ARP003193;Richfer bébé - solution buvable fl/50ml
ARP001610;Formate - poudre pour inhalation en gélule B/30
ARP001764;Gensil constipation - B/30 pochette de 20
ARP003022;Polgen 1 lait infantile - pot de 400 mg
ARP001041;Clycin V - Crème T/40g
ARP003024;Polgen 3 lait infantile - pot de 400 mg
ARP000460;Axadex D5 - flacon de 500ml
ARP000453;Aprofort - B/90
ARP000423;Acryptega - B/30
ARP002218;Lubrinex - flacon de 10 ml
ARP000441;Amlodis - B/30
ARP000456;Asmoflam - B/20
ARP002209;Lectom - fl/60 ml
ARP001856;Hapitime - sachet B/5
ARP002616;Neutrosec - flacon de 200 ml
ARP002614;Neutrocold - fl/10 ml
ARP000424;Agiderm - Tube de 15g
ARP003456;Salmetol - Fl/ 50/250µg
ARP003720;Tavastor - comprimé pelliculé B/30
