Nom du Medicament,Numero AMM,Date Début,Prix Public,DCI,dosage,Conditionnement,Forme Galénique,Laboratoire,Voie d’administration,classe thérapeutique,RCP,Notice,Image
"SEPTYL BAIN DE BOUCHE 0,1 G",6055,3/4/2013,658,CHLORHEXIDINE DIGLUCONATE,"0,1 g",FLACON / 80 ML,BAIN DE BOUCHE,PHARMA PRODUCT MANUFACTURING (PPM),BUCCALE,ANTISEPTIQUE,RCP,Notice,Image
"STERITAX INJ 1,5",7032,8/5/2014,2804,CEFTRIAXONE / SULBACTAM,1000 mg / 500 mg,BOITE / 1,AMPOULE INJECTABLE,IPCA LABORATORIES LTD,INJECTABLE,Antibiotique,RCP,Notice,Image
ZERODOL P 100 MG/500 MG,7329,7/15/2015,2377,ACECLOFENAC / PARACETAMOL,100 mg / 500 mg,BOITE / 10,COMPRIMe,IPCA LABORATORIES LTD,ORALE,ANTALGIQUE / ANTIINFLAMMATOIRE NON STERO√èDIEN,RCP,Notice,Image
FEDATE,7369bis,2/29/2016,0,ACIDE FOLIQUE / CYANOCOBALAMINE / FER / Pyridoxine hyrochloride,"1,5 mg / 33 mg / 7,5 mg",FLACON / 200 ML,SIROP,AJANTA PHARMA LIMITED,ORALE,ANTIANEMIQUE,RCP,Notice,Image
NECAXIME 1 G,7928,1/9/2017,3169,CEFOTAXIME,1 g,BOITE / 1 FLACON,POUDRE POUR PRePARATION INJECTABLE,NECTAR LiFESCiENCES,INJECTABLE,Antibiotique,RCP,Notice,Image
NETAZOX DT 200 MG,7918 BIS,7/20/2017,1950,NITAZOXANIDE,200 mg,BOITE/6,COMPRIME DISPERSIBLE,IND SWIFT LIMITED,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
MADECASSOL CP 10 MG,7954,3/8/2017,2474,HYDROCOTYLE,10 mg,BOITE / 25,COMPRIMe,BAYER,ORALE,PROTECTEUR CUTANE,RCP,Notice,Image
LIPANTHYL 145 MG,7944,2/8/2017,6437,FENOFIBRATE,145 mg,B/30,COMPRIMEPELLICULe,ABBOTT PRODUCT SAS,ORALE,HYPOCHOLESTEROLEMIANT,RCP,Notice,Image
GORPILS MENTHOL EUCALYPTUS,8061,1/18/2018,1219,ALCOOL DICHLOROBENZYL / AMYLMETACRESOL,"0,6 MG / 1,2 MG",BOITE / 24,PASTILLE,GEPACH INTERNATIONAL,ORALE,ANTISEPTIQUE,RCP,Notice,Image
FLUB 600 MG / 30 ML,8065 BIS,1/18/2018,1828,FLUBENDAZOLE,600 MG,FLACON / 30 ML,SUSPENSION BUVABLE,UNI PHARMA,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
FLUB CP 100 MG,8085,1/18/2018,1633,FLUBENDAZOLE,100 MG,BOITE / 6,COMPRIMe,UNI PHARMA,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
CLARADOL 500 MG,8062,11/17/2017,1170,PARACETAMOL,500 mg,BOITE / 16,COMPRIMEEFFERVESCENT,BAYER,ORALE,ANTALGIQUE,RCP,Notice,Image
LEUTRIEN 4 MG,9247,6/23/2020,4876,MONTELUKAST SODIUM,4 MG,BOITE/30,COMPRIME√Ä CROQUER,MSN,ORALE,ANTIASTHMATIQUE,RCP,Notice,Image
ARTECOM CP/8,8135,12/28/2018,4267,DIHYDROARTEMISININE / PIPERAQUINE / TRIMETHOPRIME,32 mg / 320 mg / 90 mg,BOITE / 8,COMPRIMEPELLICULESeCABLE,ODYPHARM LTD,ORALE,ANTIPALUDIQUE,RCP,Notice,Image
ALBENDAZOLE UBITHERA 400MG B/50,8220,1/16/2019,6607,ALBENDAZOLE,400 mg,BOITE DE 50 BLISTER/1,COMPRIMe,UBITHERA PHARMA PVT LTD,ORALE,ANTIHELMINTHIQUE,RCP,Notice,Image
NORMET SP 100 MG,8319,1/16/2019,1828,METRONIDAZOLE / NORFLOXACINE,100 mg / 100 ml,FLACON / 30 ML,SUSPENSION BUVABLE,EMCURE PHARMACEUTICALS LTD,ORALE,Antibiotique / ANTIPARASITAIRE,RCP,Notice,Image
NETAZOX CP 500 MG,8054,1/21/2019,1828,NITAZOXANIDE,500 mg,BOITE / 6,COMPRIMEPELLICULe,IND SWIFT LIMITED,ORALE,ANTIPARASITAIRE / ANTIPROTOZOAIRE,RCP,Notice,Image
ARTEMETHER UBITHERA 80MG,8221 ter,8/5/2019,8221,ARTEMETHER,80 MG,BOITE / 10,AMPOULE INJECTABLE,UBITHERA PHARMA PVT LTD,INJECTABLE,ANTIPALUDIQUE,RCP,Notice,Image
TERCEFIX 200 MG COMPRIME B10,9641,12/30/2021,2460,CEFIXIME,200 MG,BOITE / 10,COMPRIMe,TERANGA PHARMA,ORALE,Antibiotique,RCP,Notice,Image
TERAMOX 250MG/5ML SIROP FL/60ML,9638,12/30/2021,1159,AMOXICILLINE,250 MG,FLACON / 60ML,SUSPENSION BUVABLE,TERANGA PHARMA,ORALE,Antibiotique,RCP,Notice,Image
TEROMEP 20 MG GELULE B30,9645,12/30/2021,5460,OMEPRAZOLE,20 mg,BOITE/ 30,GELULE A LIBERATION PROLONGEE,TERANGA PHARMA,ORALE,ANTIULCEREUX,RCP,Notice,Image
