Code_ARP;Libelle_medicament;DCI_brute;Substance_texte;Substance_norm
ARP001450;FEDATE - FLACON / 200 ML;ACIDE FOLIQUE / CYANOCOBALAMINE / FER / Pyridoxine hyrochloride;Pyridoxine hyrochloride;PYRIDOXINE HYROCHLORIDE
ARP002498;NETAZOX DT 200 MG - BOITE/6;NITAZOXANIDE;NITAZOXANIDE;NITAZOXANIDE
ARP002227;MADECASSOL CP 10 MG - BOITE / 25;HYDROCOTYLE;HYDROCOTYLE;HYDROCOTYLE
ARP000301;ARTECOM CP/8 - BOITE / 8;DIHYDROARTEMISININE / PIPERAQUINE / TRIMETHOPRIME;DIHYDROARTEMISININE;DIHYDROARTEMISININE
ARP000301;ARTECOM CP/8 - BOITE / 8;DIHYDROARTEMISININE / PIPERAQUINE / TRIMETHOPRIME;PIPERAQUINE;PIPERAQUINE
ARP002496;NETAZOX CP 500 MG - BOITE / 6;NITAZOXANIDE;NITAZOXANIDE;NITAZOXANIDE
ARP003560;TERCEFIX 200 MG COMPRIME B10 - BOITE / 10;CEFIXIME;CEFIXIME;CEFIXIME
ARP003211;SALIFEN 1 % GEL 30 MG - nan;DICLOFENAC / MENTHOL / SALICYLATE DE METHYLE;MENTHOL;MENTHOL
ARP003592;THERADIAM - BOITE / 60;LACTOSE/MONOHYDRATE/MALTDEXTRINE/HYPROMELLOSE/STEARATEDE MAGNESIUM/SILICE COLLOIDE ANHYDRE;MONOHYDRATE;MONOHYDRATE
ARP003592;THERADIAM - BOITE / 60;LACTOSE/MONOHYDRATE/MALTDEXTRINE/HYPROMELLOSE/STEARATEDE MAGNESIUM/SILICE COLLOIDE ANHYDRE;MALTDEXTRINE;MALTDEXTRINE
ARP003592;THERADIAM - BOITE / 60;LACTOSE/MONOHYDRATE/MALTDEXTRINE/HYPROMELLOSE/STEARATEDE MAGNESIUM/SILICE COLLOIDE ANHYDRE;SILICE COLLOIDE ANHYDRE;SILICE COLLOIDE ANHYDRE
ARP003323;SOMNIAL - BOITE / 14;DOXYLAMINE;DOXYLAMINE;DOXYLAMINE
