Code_substance;Libelle_substance;Code_ARP
901.0;CHLORURE DE SODIUM;ARP000001
1931.0;FLUOROURACILE;ARP000002
17061.0;CEFPODOXIME;ARP000003
31844.0;ABACAVIR;ARP000005
17878.0;LAMIVUDINE;ARP000005
17878.0;LAMIVUDINE;ARP000006
31844.0;ABACAVIR;ARP000006
31844.0;ABACAVIR;ARP000007
31844.0;ABACAVIR;ARP000008
20540.0;ACARBOSE;ARP000009
5371.0;BENZOATE DE BENZYLE;ARP000010
62180.0;ACÉCLOFÉNAC;ARP000012
52431.0;PÉRINDOPRIL;ARP000014
52431.0;PÉRINDOPRIL;ARP000015
819.0;INDAPAMIDE;ARP000015
535.0;TRÉTINOÏNE;ARP000017
1040.0;ACIDE FOLIQUE;ARP000020
25715.0;ACICLOVIR;ARP000021
4415.0;HYDROXYDE DE MAGNÉSIUM;ARP000022
2940.0;HYDROXYDE D'ALUMINIUM;ARP000022
5.0;ACÉTYLSALICYLIQUE (ACIDE);ARP000023
35532.0;ACIDE ALENDRONIQUE;ARP000024
1023.0;ACIDE ASCORBIQUE;ARP000025
1040.0;ACIDE FOLIQUE;ARP000026
2160.0;ACIDE FUSIDIQUE;ARP000027
2709.0;LACTULOSE;ARP000028
49632.0;RANITIDINE;ARP000029
5248.0;AMOXICILLINE;ARP000030
93286.0;ACIDE CLAVULANIQUE;ARP000030
2202.0;PARACÉTAMOL;ARP000031
62180.0;ACÉCLOFÉNAC;ARP000031
535.0;TRÉTINOÏNE;ARP000032
60284.0;ATTAPULGITE DE MORMOIRON;ARP000033
52857.0;TOCILIZUMAB ;ARP000034
4204.0;CHARBON ACTIVÉ;ARP000035
2278.0;PSEUDOÉPHÉDRINE (CHLORHYDRATE DE);ARP000036
2202.0;PARACÉTAMOL;ARP000036
62180.0;ACÉCLOFÉNAC;ARP000037
2202.0;PARACÉTAMOL;ARP000037
91006.0;MONOSULFURE DE SODIUM ANHYDRE;ARP000038
1023.0;VITAMINE C;ARP000039
47604.0;GENTAMICINE;ARP000042
2064.0;HYDROCHLOROTHIAZIDE;ARP000043
8736.0;CHLORHYDRATE DE QUINAPRIL;ARP000043
24296.0;LUMÉFANTRINE;ARP000045
39567.0;ARTÉMÉTHER;ARP000045
25715.0;ACICLOVIR;ARP000046
1807.0;ÉTHINYLESTRADIOL;ARP000047
196.0;LÉVONORGESTREL;ARP000047
819.0;INDAPAMIDE;ARP000049
1040.0;ACIDE FOLIQUE;ARP000050
1119.0;ZINC (SULFATE DE) MONOHYDRATÉ;ARP000050
2202.0;PARACÉTAMOL;ARP000051
37.0;DICLOFÉNAC SODIQUE;ARP000051
3225.0;SUCCINATE DE DOXYLAMINE;ARP000052
5249.0;CHLORHYDRATE DE DOPAMINE;ARP000052
3401.0;CHLORHYDRATE DE MINOCYCLINE;ARP000052
4546.0;FLUORURE DE SODIUM;ARP000053
928.0;CHLORURE DE ZINC;ARP000053
3778.0;GLUCONATE DE CHLORHEXIDINE;ARP000053
928.0;CHLORURE DE ZINC;ARP000054
4546.0;FLUORURE DE SODIUM;ARP000054
3778.0;GLUCONATE DE CHLORHEXIDINE;ARP000054
3225.0;SUCCINATE DE DOXYLAMINE;ARP000055
2284.0;PYRIDOXINE;ARP000055
1040.0;ACIDE FOLIQUE;ARP000055
1080.0;ADRÉNALINE;ARP000056
2092.0;IBUPROFÈNE;ARP000058
65948.0;DESLORATADINE;ARP000059
65948.0;DESLORATADINE;ARP000060
626.0;SALBUTAMOL;ARP000061
626.0;SALBUTAMOL;ARP000062
2202.0;PARACÉTAMOL;ARP000063
3193.0;CHLORPHÉNAMINE (MALÉATE DE);ARP000063
420.0;CAFÉINE;ARP000063
3088.0;CHLORHYDRATE DE PHÉNYLÉPHRINE;ARP000063
1023.0;ACIDE ASCORBIQUE;ARP000063
3460.0;MALÉATE DE PHÉNIRAMINE;ARP000063
3460.0;MALÉATE DE PHÉNIRAMINE;ARP000064
3088.0;CHLORHYDRATE DE PHÉNYLÉPHRINE;ARP000065
2202.0;PARACÉTAMOL;ARP000065
3193.0;CHLORPHÉNAMINE (MALÉATE DE);ARP000065
2754.0;OFLOXACINE;ARP000066
39727.0;AMLODIPINE;ARP000068
5432.0;CHLORHYDRATE DE LIDOCAÏNE;ARP000069
931.0;SULFATE DE ZINC;ARP000069
2160.0;ACIDE FUSIDIQUE;ARP000070
5541.0;CHLORHYDRATE DE MÉCLOZINE;ARP000071
54353.0;LÉVOCÉTIRIZINE;ARP000072
60929.0;CÉTIRIZINE (DICHLORHYDRATE DE);ARP000072
3559.0;SULFATE DE SALBUTAMOL;ARP000073
3691.0;GUAÏFÉNÉSINE;ARP000073
62180.0;ACÉCLOFÉNAC;ARP000074
637.0;BENZOATE DE SODIUM;ARP000075
3229.0;BROMHYDRATE DE DEXTROMÉTHORPHANE;ARP000075
2202.0;PARACÉTAMOL;ARP000076
23481.0;NÉTUPITANT;ARP000077
95294.0;PALONOSÉTRON;ARP000077
2754.0;OFLOXACINE;ARP000079
3348.0;ALBENDAZOLE;ARP000080
3348.0;ALBENDAZOLE;ARP000081
3348.0;ALBENDAZOLE;ARP000082
3348.0;ALBENDAZOLE;ARP000083
3348.0;ALBENDAZOLE;ARP000084
3348.0;ALBENDAZOLE;ARP000085
3348.0;ALBENDAZOLE;ARP000086
38524.0;PANTOPRAZOLE;ARP000087
3229.0;BROMHYDRATE DE DEXTROMÉTHORPHANE;ARP000088
3088.0;CHLORHYDRATE DE PHÉNYLÉPHRINE;ARP000088
60929.0;DICHLORHYDRATE DE CÉTIRIZINE;ARP000088
436.0;CAMPHRE;ARP000089
977.0;SPIRONOLACTONE;ARP000090
1106.0;ALTIZIDE;ARP000090
977.0;SPIRONOLACTONE;ARP000091
420.0;CAFÉINE;ARP000094
2825.0;PHÉNOBARBITAL;ARP000094
420.0;CAFÉINE ANHYDRE;ARP000094
51827.0;BILASTINE;ARP000095
81234.0;LÉVOFLOXACINE;ARP000097
2285.0;PYRIMÉTHAMINE;ARP000098
28165.0;AMOXICILLINE TRIHYDRATÉE;ARP000100
5248.0;AMOXICILLINE;ARP000100
66431.0;CIPROFLOXACINE;ARP000101
979.0;CÉFACLOR;ARP000102
35532.0;ACIDE ALENDRONIQUE;ARP000103
60310.0;CHLORHYDRATE D'ALFUZOSINE;ARP000105
420.0;CAFÉINE;ARP000106
2202.0;PARACÉTAMOL;ARP000106
63854.0;CÉLÉCOXIB;ARP000107
74765.0;CODÉINE (PHOSPHATE DE);ARP000108
1023.0;ACIDE ASCORBIQUE;ARP000108
2202.0;PARACÉTAMOL;ARP000108
5356.0;ALGINATE DE SODIUM;ARP000109
899.0;BICARBONATE DE SODIUM;ARP000109
4966.0;DICHLORHYDRATE D'HISTAMINE;ARP000110
79794.0;CAPSAÏCINE;ARP000110
5453.0;SALICYLATE DE MÉTHYLE;ARP000110
4852.0;SALICYLATE DE GLYCOL;ARP000110
2202.0;PARACÉTAMOL;ARP000111
467.0;CODÉINE;ARP000111
3271.0;NAPROXÈNE;ARP000112
2092.0;IBUPROFÈNE;ARP000113
594.0;FLURBIPROFÈNE;ARP000114
2914.0;SULPIRIDE;ARP000115
23918.0;LÉVOCABASTINE;ARP000116
75817.0;AZÉLASTINE;ARP000118
1261.0;BÉTAMÉTHASONE;ARP000119
65948.0;DESLORATADINE;ARP000120
65948.0;DESLORATADINE;ARP000121
2236.0;PROMÉTHAZINE;ARP000122
1261.0;BÉTAMÉTHASONE;ARP000124
1097.0;ALLOPURINOL;ARP000125
1097.0;ALLOPURINOL;ARP000126
1097.0;ALLOPURINOL;ARP000127
2202.0;PARACÉTAMOL;ARP000130
62180.0;ACÉCLOFÉNAC;ARP000130
37441.0;MÉLOXICAM;ARP000131
49632.0;RANITIDINE;ARP000132
1525.0;CHOLÉCALCIFÉROL;ARP000133
2452.0;NICOTINAMIDE;ARP000133
622.0;VITAMINE A;ARP000133
1023.0;VITAMINE C;ARP000133
79794.0;CAPSAÏCINE;ARP000134
4966.0;DICHLORHYDRATE D'HISTAMINE;ARP000134
5453.0;SALICYLATE DE MÉTHYLE;ARP000134
4852.0;SALICYLATE DE GLYCOL;ARP000134
13112.0;ALPRAZOLAM;ARP000135
13112.0;ALPRAZOLAM;ARP000136
13112.0;ALPRAZOLAM;ARP000137
65948.0;DESLORATADINE;ARP000138
75804.0;HYDROTALCITE;ARP000139
62180.0;ACÉCLOFÉNAC;ARP000140
86162.0;MONTÉLUKAST SODIQUE;ARP000141
80102.0;MONTÉLUKAST;ARP000141
2940.0;HYDROXYDE D'ALUMINIUM;ARP000142
4415.0;HYDROXYDE DE MAGNÉSIUM;ARP000142
53145.0;LOPINAVIR;ARP000144
53415.0;RITONAVIR;ARP000144
1539.0;CYANOCOBALAMINE;ARP000145
2201.0;DEXPANTHÉNOL;ARP000145
2452.0;NICOTINAMIDE;ARP000145
2284.0;PYRIDOXINE;ARP000145
2331.0;RIBOFLAVINE;ARP000145
48694.0;THIAMINE;ARP000145
94881.0;MAGNÉSIUM;ARP000146
72.0;BIOTINE;ARP000146
2452.0;NICOTINAMIDE;ARP000146
549.0;IODE;ARP000146
5363.0;SÉLÉNIUM;ARP000146
64114.0;MANGANÈSE;ARP000146
34855.0;FER;ARP000146
5348.0;CUIVRE;ARP000146
4113.0;ACIDE PANTOTHÉNIQUE;ARP000146
1473.0;ZINC;ARP000146
1040.0;ACIDE FOLIQUE;ARP000146
34855.0;FER;ARP000147
54353.0;LÉVOCÉTIRIZINE;ARP000148
3348.0;ALBENDAZOLE;ARP000149
3348.0;ALBENDAZOLE;ARP000150
93748.0;AMLODIPINE (BÉSILATE D');ARP000151
93748.0;BÉSILATE D'AMLODIPINE;ARP000151
39727.0;AMLODIPINE;ARP000151
52431.0;PÉRINDOPRIL;ARP000151
39727.0;AMLODIPINE;ARP000152
52431.0;PÉRINDOPRIL;ARP000152
2285.0;PYRIMÉTHAMINE;ARP000153
39727.0;AMLODIPINE;ARP000154
